track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined
enemy (with jid) - from the series arcane league of legends,"imagine dragons, league of legends, jid, arcane",4,2021,9,3,6180,7,1223481149,122,88,580,21,10,77,B,Minor,72,59,76,24,0,42,28,"enemy (with jid) - from the series arcane league of legends imagine dragons, league of legends, jid, arcane"
revenge,xxxtentacion,1,2017,8,25,3600,11,1022258230,7,0,203,0,2,140,B,Minor,75,18,25,78,0,11,26,revenge xxxtentacion
bombonzinho - ao vivo,"israel & rodolffo, ana castela",2,2022,11,3,1254,6,263453310,26,69,73,2,6,158,C#,Major,65,72,95,31,0,92,5,"bombonzinho - ao vivo israel & rodolffo, ana castela"
la canciï¿½,"j balvin, bad bunny",2,2019,6,28,6398,31,1435127549,177,109,305,3,5,176,G,Major,75,43,65,15,0,11,32,"la canciï¿½ j balvin, bad bunny"
quï¿½ï¿½ ago,"yuridia, angela aguilar",2,2022,10,20,660,15,236857112,19,59,18,5,52,98,B,Major,73,88,57,56,0,5,2,"quï¿½ï¿½ ago yuridia, angela aguilar"
love again,the kid laroi,1,2023,1,27,1283,0,147538971,57,4,48,0,0,107,B,Minor,66,47,40,72,0,11,3,love again the kid laroi
after hours,the weeknd,1,2020,2,19,8084,6,698086140,45,115,218,1,221,109,F,Minor,66,16,57,10,1,12,3,after hours the weeknd
about damn time,lizzo,1,2022,7,15,2332,2,723894473,0,0,25,0,0,109,A#,Minor,84,72,74,10,0,34,7,about damn time lizzo
born with a beer in my hand,morgan wallen,1,2023,3,3,203,0,34450974,5,9,0,0,0,148,,Major,53,61,81,5,0,36,4,born with a beer in my hand morgan wallen
ýýýýýýýýýýýýýýýýýýýýý,fujii kaze,1,2020,5,20,685,14,403097450,24,94,9,0,23,158,F#,Minor,60,52,76,17,0,19,5,ýýýýýýýýýýýýýýýýýýýýý fujii kaze
besos moja2,"wisin & yandel, rosalï¿½",2,2022,9,29,2460,13,309483971,53,7,56,3,1,94,F,Minor,74,64,73,6,0,10,6,"besos moja2 wisin & yandel, rosalï¿½"
maan meri jaan,king,1,2022,10,12,288,6,319566866,11,80,1,0,8,96,F#,Minor,70,40,51,35,0,10,4,maan meri jaan king
moscow mule,bad bunny,1,2022,5,6,4572,33,909001996,74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3,moscow mule bad bunny
my universe,"coldplay, bts",2,2021,9,24,6127,13,1061966512,0,0,0,0,0,105,A,Major,58,42,68,1,0,14,4,"my universe coldplay, bts"
devil donï¿½ï¿½ï¿½,morgan wallen,1,2023,3,3,166,0,32526947,2,10,0,0,0,125,,Major,53,32,66,38,0,9,3,devil donï¿½ï¿½ï¿½ morgan wallen
llylm,rosalï¿½,1,2023,1,27,1838,0,124988687,105,41,114,1,59,170,F#,Minor,56,56,63,13,0,19,27,llylm rosalï¿½
i'm not here to make friends,"sam smith, calvin harris, jessie reyez",3,2023,1,27,1890,0,103787664,86,1,49,0,9,115,,Major,70,84,90,17,0,41,6,"i'm not here to make friends sam smith, calvin harris, jessie reyez"
trustfall,p!nk,1,2023,1,27,2098,16,134255790,88,24,101,7,451,122,G#,Major,64,25,89,0,0,15,9,trustfall p!nk
antifragile,le sserafim,1,2022,10,17,761,12,301051721,23,95,11,0,3,105,A#,Minor,88,82,80,8,0,11,8,antifragile le sserafim
boy's a liar,pinkpantheress,1,2022,11,30,1225,0,156338624,27,0,28,13,0,133,F,Major,66,74,84,25,0,21,4,boy's a liar pinkpantheress
vibe (feat. jimin of bts),"taeyang, jimin",2,2023,1,13,415,2,152850295,15,40,21,1,15,100,,Major,79,60,68,7,0,26,4,"vibe (feat. jimin of bts) taeyang, jimin"
shirt,sza,1,2022,10,28,3469,0,309653982,71,95,31,0,2,120,D#,Minor,82,55,45,15,3,9,10,shirt sza
lift me up - from black panther: wakanda forever - music from and inspired by,rihanna,1,2022,10,28,3311,0,297328960,129,31,212,1,41,177,A,Major,25,17,30,90,0,13,3,lift me up - from black panther: wakanda forever - music from and inspired by rihanna
star walkin' (league of legends worlds anthem),lil nas x,1,2022,9,22,2616,0,332506354,113,17,208,0,192,142,D,Minor,64,31,72,15,0,9,5,star walkin' (league of legends worlds anthem) lil nas x
"sex, drugs, etc.",beach weather,1,2016,11,4,3006,16,480507035,47,60,87,12,124,144,E,Minor,57,47,84,1,1,52,4,"sex, drugs, etc. beach weather"
boy with luv (feat. halsey),"halsey, bts",2,2019,4,12,4260,0,1065580332,113,92,259,0,1,120,B,Minor,65,80,86,9,0,19,10,"boy with luv (feat. halsey) halsey, bts"
"hey, mickey!",baby tate,1,2016,9,27,482,0,122763672,9,1,12,4,3,135,D,Major,92,73,51,55,0,15,6,"hey, mickey! baby tate"
calm down,rï¿½ï,1,2022,2,9,4013,10,445763624,107,44,750,22,,107,B,Major,81,82,78,38,0,12,4,calm down rï¿½ï
jhoome jo pathaan,"arijit singh, vishal dadlani, sukriti kakar, vishal-shekhar, shekhar ravjiani, kumaar",6,2022,12,22,138,4,1365184,13,78,2,0,0,105,G,Major,82,62,74,10,0,33,7,"jhoome jo pathaan arijit singh, vishal dadlani, sukriti kakar, vishal-shekhar, shekhar ravjiani, kumaar"
escapism. - sped up,"raye, 070 shake",2,2022,11,25,1368,0,184308753,12,1,11,0,8,108,F#,Minor,44,38,77,9,0,9,20,"escapism. - sped up raye, 070 shake"
space song,beach house,1,2015,1,1,17852,4,789753877,69,76,335,0,,147,,Minor,51,62,79,22,13,14,3,space song beach house
dreamers [music from the fifa world cup qatar 2022 official soundtrack],"bts, jung kook, fifa sound",3,2022,11,20,889,20,323358833,11,78,35,0,21,115,,Major,71,34,88,16,0,44,4,"dreamers [music from the fifa world cup qatar 2022 official soundtrack] bts, jung kook, fifa sound"
te felicito,"shakira, rauw alejandro",2,2022,4,21,4796,9,606361689,124,66,212,13,1,174,F,Major,70,57,64,23,0,8,32,"te felicito shakira, rauw alejandro"
muï¿½ï¿½,"steve aoki, tini, la joaqui",3,2023,1,12,658,6,120972253,33,7,53,2,0,90,A#,Minor,68,83,71,3,0,31,8,"muï¿½ï¿½ steve aoki, tini, la joaqui"
tv,billie eilish,1,2022,7,21,3009,2,338564981,68,89,65,0,25,141,E,Minor,41,9,25,84,1,14,4,tv billie eilish
i'm not the only one,sam smith,1,2014,1,1,17492,3,1606986953,136,24,"1,959",0,30,82,F,Major,68,50,49,56,0,8,4,i'm not the only one sam smith
heather,conan gray,1,2020,3,20,6170,7,1301799902,82,1,231,0,2,92,F,Major,47,25,43,62,0,32,3,heather conan gray
"besharam rang (from ""pathaan"")","vishal-shekhar, shilpa rao, caralisa monteiro, kumaar, vishal dadlani, shekhar ravjiani",6,2022,12,12,130,4,140187018,21,79,2,0,0,116,G#,Minor,77,65,80,6,0,15,4,"besharam rang (from ""pathaan"") vishal-shekhar, shilpa rao, caralisa monteiro, kumaar, vishal dadlani, shekhar ravjiani"
one kiss (with dua lipa),"calvin harris, dua lipa",2,2017,6,2,27705,10,1897517891,537,122,"2,726",6,,124,A,Minor,79,59,86,4,0,8,11,"one kiss (with dua lipa) calvin harris, dua lipa"
sugar rush ride,tomorrow x together,1,2023,1,27,359,0,107642809,12,56,13,0,13,125,A#,Minor,71,83,89,1,0,17,9,sugar rush ride tomorrow x together
pink venom,blackpink,1,2022,8,19,1963,16,551305895,57,119,77,1,13,90,,Major,80,71,69,2,0,27,10,pink venom blackpink
wait for u (feat. drake & tems),"drake, future, tems",3,2022,4,27,5491,14,556585270,128,84,75,0,35,83,C#,Major,46,34,64,31,0,7,34,"wait for u (feat. drake & tems) drake, future, tems"
don't start now,dua lipa,1,2019,10,31,27119,0,2303033973,532,77,"1,535",3,8,124,B,Minor,79,68,79,1,0,10,8,don't start now dua lipa
after dark,mr.kitty,1,2014,8,8,1776,14,646886885,1,9,3,0,0,140,G#,Major,58,4,60,7,41,8,3,after dark mr.kitty
eu gosto assim - ao vivo,"gustavo mioto, mari fernandez",2,2022,9,16,1473,4,222612678,27,64,66,1,4,154,,Major,64,61,91,15,0,72,4,"eu gosto assim - ao vivo gustavo mioto, mari fernandez"
industry baby (feat. jack harlow),"jack harlow, lil nas x",2,2021,7,23,13315,0,1814349763,300,47,690,0,,150,D#,Minor,74,89,70,2,0,5,6,"industry baby (feat. jack harlow) jack harlow, lil nas x"
middle of the night,elley duhï¿,1,2020,1,10,4057,8,872137015,78,21,240,1,52,186,E,Minor,41,9,61,2,0,12,5,middle of the night elley duhï¿
atlantis,seafret,1,2015,4,22,3045,6,571386359,43,53,134,1,32,166,G#,Minor,40,23,48,5,0,12,3,atlantis seafret
punto 40,"baby rasta, rauw alejandro",2,2022,9,22,3006,12,304079786,54,32,66,2,0,107,,Major,87,20,83,0,4,31,9,"punto 40 baby rasta, rauw alejandro"
evoque prata,"dj escobar, mc menor sg, mc menor hr",3,2022,9,9,852,0,174006928,14,1,50,0,0,87,G,Major,87,52,52,31,0,28,24,"evoque prata dj escobar, mc menor sg, mc menor hr"
how do i say goodbye,dean lewis,1,2022,8,5,2163,15,284785823,72,97,58,0,154,82,G#,Major,40,39,64,21,0,7,7,how do i say goodbye dean lewis
blind,sza,1,2022,12,9,1484,0,163284000,22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4,blind sza
die for you,joji,1,2022,11,4,1703,0,246390068,38,45,36,16,0,148,G#,Major,47,15,52,38,13,29,5,die for you joji
doja,central cee,1,2022,7,20,4169,44,482257456,57,44,183,1,11,140,F#,Major,91,97,57,38,0,40,29,doja central cee
gatita,bellakath,1,2022,10,3,1054,0,168684524,9,0,15,0,1,101,G,Major,90,76,81,15,24,33,6,gatita bellakath
rumble,"skrillex, flowdan, fred again..",3,2022,1,17,2849,0,78489819,39,45,27,0,1,140,C#,Minor,81,6,84,5,23,6,6,"rumble skrillex, flowdan, fred again.."
