track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,date,peak_position,weeks_on_chart,current_position
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-10-01,1,49,21
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-11-01,1,53,20
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2014-12-01,1,4,1
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2015-01-01,1,8,1
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2015-02-01,1,13,4
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2015-03-01,1,17,7
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2015-04-01,1,21,11
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2015-05-01,1,25,23
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2015-06-01,1,30,32
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,2015-07-01,1,34,42
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,2015-02-01,37,7,37
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,2015-03-01,8,11,8
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,2015-04-01,6,15,7
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,2015-05-01,6,19,12
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,2015-06-01,6,24,23
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,2015-07-01,6,28,38
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,2015-08-01,6,32,48
tqm,fuerza regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,tqm fuerza regida,2023-06-01,35,1,35
tqm,fuerza regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,tqm fuerza regida,2023-07-01,34,5,47
tqm,fuerza regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,tqm fuerza regida,2023-08-01,34,10,63
tqm,fuerza regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,tqm fuerza regida,2023-09-01,34,14,79
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,2022-07-01,76,2,78
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,2022-08-01,24,7,24
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,2022-09-01,12,11,12
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,2022-10-01,7,15,7
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,2022-11-01,6,20,18
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,2022-12-01,6,24,27
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,2023-02-01,6,29,45
amargura,karol g,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,amargura karol g,2023-09-01,85,2,85
blinding lights,the weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,blinding lights the weeknd,2020-01-01,11,4,72
blinding lights,the weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,blinding lights the weeknd,2020-02-01,11,8,21
blinding lights,the weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,blinding lights the weeknd,2020-03-01,8,13,8
